Source,Article,Text
https://www.manchestereveningnews.co.uk/news/uk-news/,Metropolitan police make 64 arrests on Coronation day,"Arrests were made for breach of the peace and posession of class A drugsSign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersThe Metropolitan Police said officers made a total of 64 arrests in central London on the King's coronation day (Saturday May 6).A total of 32 people were arrested for conspiracy to cause a public nuisance and 14 for a breach of the peace. They have since been bailed.Four people charged with offences including a religiously-aggravated public order offence and possession of class A drugs, according to the force.READ MORE: Join the FREE Manchester Evening News WhatsApp communityOn Saturday, the Met arrested a number of protestors, including chief executive of anti-monarchist campaign group Republic, Graham Smith. Video footage from the incident showed people in yellow 'not my king' t-shirts being detained. Republic said they were stopped by police while unloading signs near the procession.The move was labelled 'alarming' by human rights groups - but the Met said officers had acted proportionally under the law.Speaking to the BBC, Commander Karen Findlay, who ran the day's operations, said: ""Protest is lawful and it can be disruptive.""She added that officers have a duty to intervene ""when protest becomes criminal and may cause serious disruption"".""This depends on the context,"" she said. ""The Coronation is a once in a generation event and that is a key consideration in our assessment.""READ NEXT:This Idyllic village whose name 'even the Post Office gets wrong' has something very odd in itCops issue update on murder investigation following man's death in SalfordBurger bar owner speaks of terror as gunman strolls in and opens fireStaff suspended by school following alleged 'naked bicycle prank'Police pull over ‘suspicious car’ in Trafford - and find more than they bargained for"
https://www.manchestereveningnews.co.uk/news/uk-news/,Olly Murs stuns viewers with his appearance for King's Coronation Concert,"Viewers reacted as the popstar appeared with an eyebrow-raising lookSign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersCoronation Concert viewers flocked to Twitter to react as popstar Olly Murs sported an unexpected look for the historic event. Interviewers Clara Amfo and Jordan Banjo and presenter Kirsty Young were also clearly not expecting the Troublemaker singer to pop out backstage wearing a white vest.As Jordan went to comment on his outfit, Olly explained that he was going to be adding a jacket over the vest to match his trousers. ""I have got a suot jacket to wear,"" he said.""Don't lie, don't lie,"" Jordan joked. And Clara said: ""Vests or not, it's going to be an incredible evening."" Still marvelling at Olly's look, Jordan told him: ""I need a vest as well.""READ MORE: Join the FREE Manchester Evening News WhatsApp communityBack in the studio Kirsty, who is overseeing the event for BBC One, remarked about the concert with a jokey nod to Olly: ""I hope some will have full outfit on.""One viewer @Holidayangel1 tweeted: ""@ollymurs channelling Freddie Mercury there! No jacket required Olly!"" @martknell also remarked: ""Olly Murs channelling Freddie."" And @SamCEllis questioned: ""Olly Murs? Dressed like that i thought it was a Freddie Mercury tribute act.""@langcatjenny grumbled: ""I really didn’t need to see Olly Murs in his vest…"" But @beckyytw said: ""So proud on how far @ollymurs has come in his career.""@jademloren asked: ""When did Olly Murs get those arms?!"" @OllieHand remarked cheekily: ""Hey @ollymurs can I have two tickets to the gun show please?"" And @nickycafc commented: ""Olly Murs in a vest… this has started well.""It wasn't long before, true to his word, Olly appeared on stage to perform, this time wearing a jacket. He performed an energetic rendition of Dance With Me Tonight.A crowd of 20,000 people have headed to Windsor Castle's East Lawn for the event, broadcast live on BBC One and BBC Radio 2. The rest of the musical line-up includes Take That, Katy Perry, Lionel Richie and Paloma Faith, Andrea Bocelli and Sir Bryn Terfel, Pete Tong, Nicole Scherzinger, Steve Winwood, Lang Lang, Chinese pianist, Tiwa Savage, winner of MTV Europe Music Award for Best African Act, Lucy, winner of Channel 4's The Piano, The Coronation Choir and the Virtual Choir The Royal Ballet, the Royal Opera, the Royal Shakespeare Company, the Royal College of Music and the Royal College of Art and a 74-piece classical ensemble.King Charles and Queen Camilla with other members of the royal family have joined members of the public at the event after their crowning at Westminster Abbey yesterday. The concert follows the big Lunch Celebrations across the nation today and a walkabout by the Prince and Princess of Wales Prince William and Kate Middleton.READ NEXT:Katy Perry gives witty response after her antics almost steal the show at the King's Coronation Bishop says 'one or two things' went wrong at King's Coronation todayStephen Mulhern responds after Coronation viewers do a double take to King Charles' outfitPrince Harry catches British Airways flight to USA HOURS after King Charles III's CoronationPrince William and Kate Middleton share 'breathtaking' behind-the-scenes Coronation footage"
https://www.manchestereveningnews.co.uk/news/uk-news/,Princess Eugenie applauded as she shares pictures of herself with Prince Harry at the King's Coronation and posts heartfelt message about the day,"The King's niece was seated with her cousin at Westminster AbbeySign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersPrincess Eugenie has shared treasured pictures from her day at her uncle King Charles III's coronation. The daughter of Prince Andrew and Sarah Ferguson took to Instagram to share a selection of snaps.The collection showed the 33-year-old princess ar Westminster Abbey with her husband Jack Brooksbank, 37, as well as pictures from the historic procession and King Charles and Queen Camilla waving from the balcony at Buckingham Palace.Eugenie and Jack were seated with her cousin Prince Harry the Duke of Sussex, who travelled in alone forthe event while his wife Meghan Markle stayed in California with their two children, on the third row at the abbey. READ MORE: Join the FREE Manchester Evening News WhatsApp communityOne picture shared by Princess Eugenie showed Prince Harry walking in behind herself and Jack and in front of her sister Princess Beatrice, 34, and her husband Edoardo Mapelli Mozzi, 39. Another chosen snap showed her cousin standing alongside the couple in the abbey.Princess Eugenie wrote: ""Yesterday meant so much to me, as I'm sure it did to so many watching. What a magical celebration for The King, The Queen, our country, and the Commonwealth."" And she added: ""The day was such a reflection of dedication and service to our country.""Her followers were delighted to see that she had chosen photos including Harry from the day. Lorraine Farrow told her: ""I’m pleased you included Harry in the photo’s you picked x""Caroline Robinson commented: ""And so lovely that Harry had you and Jack to welcome him and sit with him."" Kim RB -cheered: ""Yes!!! Way to include Prince Harry!"" ouielegate said with an applaude emoji: ""Harry."" And mflare_house commented: ""Good seeing Harry.""Prince Harry was seen dashing off in a car straight after the coronation ended to get home to his family on his son Archie's fourth birthday. His daughter Princess Lilibet turns two next month. According to a lip reader Prince Harry, who earlier this year released his tell-all memoir Spare, joked about his busy day and told Jack he would be leaving at ""about quarter to four.""Prince Harry, the fifth in line to the British throne, announced in January 2020 that he and his wife were stepping back from their role as senior members of the royal family. In March he made a surprise visit to the UK to attend a court hearing as part of his claim against Daily Mail publisher Associated Newspapers over allegations of unlawful information-gathering. This was his first visit to the UK since the Queen's funeral last September. The visit came just weeks after the publication of Spare, which went into detail about his troubled relationship with his father and brother.READ NEXT:Katy Perry gives witty response after her antics almost steal the show at the King's Coronation Bishop says 'one or two things' went wrong at King's Coronation todayStephen Mulhern responds after Coronation viewers do a double take to King Charles' outfitPrince Harry catches British Airways flight to USA HOURS after King Charles III's CoronationPrince William and Kate Middleton share 'breathtaking' behind-the-scenes Coronation footage"
https://www.manchestereveningnews.co.uk/news/uk-news/,Woman set to demolish luxury lodge in her garden after it's deemed 'second home',"“It isn’t a second home. If I wanted to go on holiday to my second home why would I want to do it in my back garden?""Sign up for our free weekly newsletter for all the latest on the local property market including dream homes, where to buy and DIY hacksWe have more newslettersA former hairdresser who moved to Wales in order to set up her dream retirement retreat has said she now needs to demolish her ‘second home’ after a neighbour complained.Hazel Cullen, 60, moved to a farm in Builth Wells, Powys, east Wales, with husband Richard and teenage daughter Megan four years ago as part of a mission to build her ‘dream’ cabin lodge.She transformed an originally tired-looking cabin in the farm’s two-acre garden into a luxury getaway lovingly named Woodpecker Lodge which housed holiday makers throughout the year.READ MORE: Join the FREE Manchester Evening News WhatsApp communityBut Hazel claims she has now been left with no choice but to demolish the lodge after a neighbour's complaint triggered a three-year planning issue, Wales Online reports.She says a second homes tax has also 'put the kibosh on it' and now wishes she had never undertaken the transformation project on the Matt's Farm cabin in the first place.Helen explained that a neighbour’s complaint over lights in the lodge alerted Powys County Council. “A valuation officer turned up in March 2020 and we initially were told everything would be okay,” former hairdresser Hazel said. “But then we were given a council tax bill and were told it was because the cabin was a second home.“It isn’t a second home. If I wanted to go on holiday to my second home why would I want to do it in my back garden? We told them it wasn’t a second home, it’s a cabin, but they weren’t having any of it. The council tax on it is going up and up and next year it’s going to be ridiculous. I’ll be losing money on it.”Hazel has spent three years arguing that she should not be paying second home council tax on the cabin. She says the cabin is simply an extension to her home and is even attached to their water and electricity. No-one ever paid council tax on it before she moved to Matt's Farm, she said.Since 2017 local authorities in Wales have been able to charge a premium of up to 100% of the standard rate of council tax on second homes. Under new criteria, councils now have the choice to increase council tax premiums to 300%.By the end of the financial year Hazel believes she will pay up to a 300% premium on her cabin, totalling more than £9,000 annually – more than three times the bills in her 11-room country home. Hazel, originally from Yorkshire, said: ""When we moved here we decided to do it because you could get more for your money here than in Crickhowell. It was all overgrown with trees hiding the cabin – we couldn't even see it.""As soon as I saw it I fell in love with it and knew exactly what I wanted to do. We cleared the garden and cleaned out the cabin and got it all ready before we got locked down and then had this guy at the gate from the Valuation Office Agency saying: 'It's been reported that there has been a light on in the cabin and it's being lived in.' I saw on his laptop that he had all of the information about us from Booking.com and I let him take pictures.""Hazel said that the cabin, which is no bigger than a standard garage, couldn't be considered a second home because there aren't enough facilities in there. The cabin has a bathroom, a bedroom, and a lounge packed into a cosy space which adds to its appeal.""I assured them those staying in the cabin can't prepare food in there and there is no kitchen,"" she said. ""Those staying in there come to the conservatory and I do them breakfast.""The man from the Valuation Office was very nice and said there would be no problems. But the next thing I got a council tax bill from Powys council. I haven't got a problem with the council tax because it's band A and that's fine. But what I've got an issue with is that they call it a second home.""We told the council it's a bedroom extension and it's linked to our water and electricity but they've decided to class it as a second home and have even given it its own address. The premiums are ridiculous. This year they've put the premium on it to 75% which takes the price up to £2,163. Next year it's going to be up to 300% which will be £9,000.""It's busy but it's only open for half of the year and it doesn't merit keeping it open while paying that amount of tax. They've said they won't remove the council tax on it unless it becomes derelict so basically I now have to demolish it.""We love Wales, we love providing tourism in Wales, but this has all made us think: 'Do we want to live over the border instead?' My husband has always lived in Wales and he has said it's got so bad with all of the charges that he would now consider moving to England to do it instead.""Here I could turn every room in this house into bed and breakfast accommodation and they wouldn't charge us a penny extra but I can't have the cabin outside, which was already there when we got here, without being charged this premium. This was my retirement dream but this whole thing has put the kibosh on it.""It would be such a shame [to have to demolish it] because we love it here and we love the area. So many small local businesses are having difficulties and we always recommend local places to go and see.""This year Hazel said the cabin is booked most weekends and has been particularly popular for the Epynt Rally, the Royal Welsh Show, and wool festival Wonderwool Wales. “Even though we're so popular I know next year with that 300% premium I'll be doing it for nothing,” she explained. “We'll struggle this year, let alone next.""A spokesman for Powys County Council, which currently charges a 75% premium., said owners would need to contact the Valuation Office Agency (VOA) directly if they wish to challenge the classification of their property.A Welsh Government spokeswoman said 'it is for each local authority to decide whether to apply council tax premiums to the second homes and long-term empty properties in their area'. The spokeswoman confirmed that 'holiday lets captured by one of the exceptions should not be charged a premium'.Read next:-"
https://www.manchestereveningnews.co.uk/news/uk-news/,New driving laws and rules set to arrive in May 2023 that motorists need to be aware of,"A ‘graduated driving licence’ is currently being consideredSign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersA number of new driving laws are coming into force this month which could see motorists slapped with a fine if they fail to follow the rules.The new changes being introduced include alterations to the Highway Code, parking fines for electric cars and rules regarding clean air zones.There could also be an introduction of a probationary period for younger drivers to boost road safety.READ MORE: Join the FREE Manchester Evening News WhatsApp communityTwelve councils across the country have also been granted new traffic powers that are set to be introduced in the next few weeks, reports The Express.To ensure drivers don't end up in trouble, it's important to stay on top of any changes or new regulations. Below are a number of changes coming this month.Young driversIn a bid to boost road safety, newly-licenced drivers under the age of 25 could be prevented from carrying passengers in the same age limit.The proposals would suggest the introduction of a ‘graduated driving licence’ which would restrict newly-passed motorists from having a full licence initially.Many experts believe a form of probationary period for younger drivers could benefit all road users and reduce the risks of accidents. Further considerations for the plans will be discussed by Transport Minister Richard Holden at a road safety meeting on May 16.Seb Goldin, CEO of RED Driver Training, said: ""We know that people of all ages rely on the freedom that driving provides, and graduated driving licencing risks placing restrictions on this.""However, data shows that in countries where graduated driving licencing is in effect, it is being received well and, in an environment where incidents on our roads are commonplace, taking steps to reduce the risks of death and serious injuries is a protocol we support.""Road safety remains our ultimate concern, and this probationary period for drivers who are more likely to be involved in an incident allows us to prioritise this even further.”ZEV mandateA Zero Emission Vehicle mandate currently in the midst of a consultation phase looks to promote the use of electric vehicles and ensure manufacturers are meeting targets to ensure there are enough vehicles on the market in time for the 2030 petrol and diesel new car ban.A consultation was launched in March to assess how the ZEV mandate will work, including how it will affect businesses and whether any exemptions are necessary.The consultation on the final design of the UK’s ZEV mandate and CO2 emissions regulation will close at 11.45pm on May 24.New council powersAccording to a Freedom of Information request, 12 councils have been handed new traffic powers to fine drivers for offences that were previously only issued by the police.In May, Surrey Council will begin monitoring yellow box junctions and potentially issuing fines of up to £70. Reading and Hampshire Councils will also receive powers in “Spring 2023”.Derby City, Buckinghamshire and Norfolk councils have also been granted powers, but it isn’t yet known which areas they’ll be monitoring.Fuel tanker consultationThe Government is currently consulting on the viability of allowing fuel tankers to carry more fuel than the existing 44-tonne weight limit.It was launched in response to the fuel crisis experienced in 2022 by drivers up and down the country when forecourts were hit with massive disruptions to fuel supplies.The consultation will end on May 17, with the Department for Transport accepting feedback until 11.45pm.READ NEXT:Man admits owning pack of dangerously out of control dogs which attacked six-year-old girlInside Manchester Airport's new Terminal 2Cops 'cut off the head of the snake' as warehouse bustedTwo men arrested after police unearth huge suspected cannabis farmGMP failure to disclose evidence led to man spending 17 years in jail, court told"
https://www.manchestereveningnews.co.uk/news/uk-news/,Culture Secretary blames Tory local election losses on pandemic and Putin's invasion of Ukraine,"'We’ve just had a pandemic which has disrupted many people’s lives'Sign up to FREE email alerts from the Northern AgendaWe have more newslettersCultural Secretary Lucy Frazer has blamed heavy Tory losses in this week’s local elections on the pandemic and the ongoing war in Ukraine.Speaking to Sky News this morning (May 7), Ms Frazer said she understood that voters were ‘frustrated and angry’ and acknowledged that the party now needed time to reflect following the results of the local ballots.The Conservatives shed 960 councillors in Thursday’s poll, including nine seats in Bolton where every seat was up for grabs. Before the election, the Tories were the largest party in the borough and had run the council as a minority administration but they now sit in second place behind Labour, who gained seven seats.READ MORE: Join the FREE Manchester Evening News WhatsApp communityAppearing on Sophy Ridge On Sunday, the Culture Secretary said that the disruption caused by the pandemic and Russian President Vladimir Putin's invasion of Ukraine was having a toll on voters.“If we could look at the context for the whole local election, we’ve been in power for a long time,” Ms Frazer told Sky News.“We’ve just had a pandemic which has disrupted many people’s lives and has had consequences for the economy, as has the war in Ukraine, which is going on.”Pressed on whether she understood the scale of her party’s losses, she said: “Totally, it’s really important that we listen to people. I know people are frustrated and angry.”Explaining how she recognised the results were “not good”, she added: “I totally understand that we need to do better and I think we are going to deliver.”Despite the results, Ms Frazer claimed that Prime Minister Rishi Sunak was starting to regain the public’s trust by delivering his five priorities, including curbing inflation, in a “quiet way”.“I totally recognise we’ve had a really difficult few years,” she explained. “I do think that the Prime Minister, who’s now been in office for six months, is getting the country back on track and is delivering. I think we’re starting to gain the trust of the British public.”Pressed on whether the Tories needed to offer more than Mr Sunak’s promises from January, she told the BBC’s Laura Kuenssberg On Sunday programme: “We absolutely need to reflect. I think Rishi’s only been the Prime Minister for six months.”Kuenssberg said: “It’s not five minutes, it’s six months.”“It’s not five minutes but these are huge challenges,” Ms Frazer replied.Some Tories blamed the electoral hammering on the lack of tax cuts. Former minister Sir John Redwood tweeted: “Last Thursday many Conservative voters went on strike. They do not want to vote for higher taxes, anti enterprise policies and a failure to take back control of our borders.”Ms Frazer insisted the Government was doing those things, saying: “The biggest tax cut we can make is a cut in inflation”.Meanwhile, Labour was celebrating “pretty encouraging” local election results, which saw Sir Keir Starmer’s party gain 635 seats and take control of another 22 local authorities.Shadow health secretary Wes Streeting told Ridge: “I think for the next general election Labour feels confident but not complacent.”READ NEXT:I made the 68p solution declared 'the best weed killer ever' and it worked wondersAfter a tough year with soaring bills, not everyone was happy about the Coronation in Manchester yesterdayThe Coronation Big Lunch - How local communities are celebrating the King's CoronationTwo arrested after man seriously injured during 'disorder' at block of flats""I finally tried 'Greater Manchester's best burger'. Part of me wishes I hadn't"""
https://www.manchestereveningnews.co.uk/news/uk-news/,"What the Royals said on Coronation Day - Charles' moan, Harry's joke and Louis' question","Lip readers have eagerly analysed what was saidSign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersThe Royal Family were brought together en masse on Saturday for the historic coronation of King Charles III.But in a day filled with tradition and regal pomp, Royal fans were left desperate to know what words were exchanged between the family as King Charles and Queen Camilla were officially crowned.Lip readers have been quick to try to fill in the blanks, poring through footage of the special day to give their best guess at what members of the Firm were saying, reports The Mirror.READ MORE: Join the FREE Manchester Evening News WhatsApp communityOne royal other than the King and Queen that all eyes were on was Prince Harry, who jetted in from California solo for his father's big day. With Meghan Markle not attending, Harry walked in alone and was sat down next to Eugenie's husband Jack Brooskbank.According to a lip reader, Harry joked about his busy day and told Jack he would be leaving at ""about quarter to four"", to which Jack replied: ""Oh really, when?""Harry was also believed to have said ""that's funny"" to Brooksbank while smiling as they waited for Charles to arrive at Westminster Abbey.While walking in, Harry gave courteous greetings to some of the other guests, saying ""hello"", ""morning"" and ""nice to see you"" to various people. Our lip reader has also claimed he said ""look at that"" while noticing the grandeur of the occasion and also said ""delightful"".Meanwhile during the ceremony, as the congregation paid homage to the new monarch, Harry was seen, along with the other royals around him, speaking the words: ""God save King Charles. Long live King Charles. May the King live forever.""It was one of the most important days of his life, which saw him crowned in a historic spectacle at Westminster Abbey. So it's no surprise that King Charles wanted all aspects of his Coronation day to run like clockwork.However, when arriving in the Diamond Jubilee State Coach at Westminster Abbey, royal fans wondered why he appeared agitated. He could be seen talking to Queen Camilla in what appeared to be an irritated manner as they waited to exit the carriage.And a lip reader say it appears he was bemoaning keeping to the day's timetable. The lip reader claims he uttered to his wife: ""We can never be on time, there's always something...""Other than the King and Queen, one of the other stars of the show was Prince Louis who delighted everyone with his adorable antics.Before his appearance on the balcony, he joined his parents, Prince George and Princess Charlotte in a carriage to join the procession back to Buckingham Palace.As he left the ceremony with his family to appear for the balcony, Louis could be seen cheering for his grandfather from the royal carriage, as he exclaimed: 'Yaaaay king. Yaaaay king,' lip reading expert Jacqui Press told Femail.He then appeared on the balcony, where he enthusiastically cheered at the flypast and tried to distract his brother George.Meanwhile, when he moved to the balcony, it appears that Louis was very inquisitive and was keen to ask lots of questions. Moments before the flypast began, Louis was seen adorably banging his fists on the balcony, impatiently waiting for it to start amid the rainy weather.As the planes and helicopters started to soar in the sky, little Louis squinted and appeared to ask his older sister Charlotte: ""What's those?"" while she smiled.A few moments later, he was seen trying to distract his big brother by yelling at him across William. Our lip reader believes Louis was saying: ""See as far as that?"", to which George grinned and replied: ""I know!""Elswhere, in another balcony moment, Sophie, the new Duchess of Edinburgh, appeared to voice her disappointment about the youngster - specifically his outfit.It came when the royals first came out onto the balcony following the historic service at Westminster Abbey.For the occasion, Louis wore a very smart outfit made by Dege and Skinner consisting of a Hainsworth Garter Blue Doeskin Tunic with specially designed lacework embellishment to the collar, cuffs and fronts.But instead of wearing his trademark shorts, Louis wore long black trousers with smart black shoes.And according to lip reader Elisabeth Taunton, as Kate ushered Louis and Princess Charlotte along the balcony, Sophie mused: ""It's a pity Louis didn't wear his shorts.""This then seemed to have prompted Prince William to offer up why Louis was in long trousers, who apparently said: ""Oh, he didn’t want to wear his shorts"" while a smiling and nodding Kate added: ""Yeah.""READ NEXT:I made the 68p solution declared 'the best weed killer ever' and it worked wondersAfter a tough year with soaring bills, not everyone was happy about the Coronation in Manchester yesterdayThe Coronation Big Lunch - How local communities are celebrating the King's CoronationTwo arrested after man seriously injured during 'disorder' at block of flats""I finally tried 'Greater Manchester's best burger'. Part of me wishes I hadn't"""
https://www.manchestereveningnews.co.uk/news/uk-news/,Aya and her family fled persecution for a life of safety in the UK - but it ended in tragedy,"The teenager was killed in a shooting in BlackburnSign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersIn 2010 Aya Hachem’s family fled war-torn Lebanon to seek a safer life elsewhere. The family made the decision after Ismail Hachem had been struck by a bullet in crossfire while serving in the army during conflict. Mr Hachem travelled with his wife and three children more than 5,000km to the UK. He hoped that the country would provide peace and stability for his young family. This all changed in May 2019 when his oldest daughter, Aya, was gunned down in a bitter feud between rival car tyre firms in Blackburn. She was only 19 years old when she was shot, LancsLive reports. READ MORE: Two arrested after man seriously injured during 'disorder' at block of flats The Hachem family settled in Blackburn after travelling around the UK as refugees. It was a place the Hachem family felt safe, far away from the bloodshed of their homeland.Soon Aya and her siblings settled into education and began working towards a brighter future, and the family welcomed another child. The oldest daughter of the family, Aya rarely spoke of the trauma she had endured in Lebanon, but as a bright student who was awarded Student of the Year at Blackburn Central High School in 2016, she hoped to use her talents to support victims and the persecuted.She began studying law at Salford University aged 18, hoping to specialise in international law. Her dad told her she would be prime minister one day - a dream he and Aya believed would come true.""Aya was our shining star and always made us smile"", said Ismail. The young student was appointed as the youngest ever trustee of the Children's Society and hoped to make the world a better place. She was also heavily involved in Blackburn's asylum seeking community.However, on May 17, as she joined Muslims across the world in marking Ramadan, she was murdered in cold blood as she walked to a local shop to buy food to break the fast. Her mother, Samar, had asked her to go to LIdl to buy lettuce - a simple, everyday task which cost Aya her life.A bullet, fired from a Toyota Avensis, struck Aya as she walked down King Street, passing through her body before becoming embedded in a telegraph pole. She fell to the ground and died almost instantly.In a victim impact statement, Aya's mum spoke of the distress she feels at asking Aya to run an errand for her that day. She said: ""On that day I had sent her to get groceries during Ramadan, how can I live with that?“How can I continue with life, a life full of emptiness. They have taken my soul and crushed it into pieces.”On Friday May 5, 2020, Lewis Junior Otway became the eighth person to be jailed for life for his role in Aya's murder, and the botched plot to kill car wash owner Pashah Khan.Her family said: “We thank God for the justice that has been served today.""To our dear beautiful angel in heaven, we know you are in a better and more beautiful place. God chose you from amongst many and blessed you with martyrdom.""We are so proud of you and we miss you so much – our lives are difficult without you. This is Gods decree and praise be to God for this. You will remain in our hearts forever.""You loved life and despite all the struggles and barriers that we faced in this country it did not stop you contributing to your community and Charities including the Children’s Society and fundraising at Salford University where you were studying to become a barrister.""God chose you as an Angel in his heaven. Heaven is yours and may God give us the patience after your murder. We love you.""The family thanked the police and legal teams who worked to secure justice over the three years since Aya was killed.For more of today's top stories, click here. READ NEXT: ""I've just stabbed him sir..."" - Teen who brought knife into school stabbed fellow student in classroom revenge attackWhat's happening on the posh city centre street with so many 'to let signs'""I finally tried 'Greater Manchester's best burger'. Part of me wishes I hadn't""Prince William and Kate Middleton share 'breathtaking' behind-the-scenes Coronation footageInside the huge new Rudy's pizzeria with a unique Italian feature"
https://www.manchestereveningnews.co.uk/news/uk-news/,Why was Katy Perry at the King’s Coronation,"The US pop singer was among the guests at Westminster AbbeySign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersAround 2,000 guests were inside Westminster Abbey on Saturday to witness the coronation of King Charles III and his wife Queen Camilla. World leaders, foreign royalty and members of the public attended the historic event. There were a number of famous faces in the crowd too, including TV presenters Ant and Dec and Dame Judi Dench. But there was one celebrity whose presence caused some confusion. US pop singer Katy Perry was among those taking their seat at the abbey for the coronation. Walking in with British Vogue editor Edward Enninful, the singer wore a baby pink outfit and posed for selfies with people inside the abbey.READ MORE: Zoe Ball replaced at last minute in BBC Radio 2 Coronation Concert coverage A video of her even went viral as she struggled to find her place. Although she later tweeted to her fans: “don’t worry guys i found my seat”.The singer was invited to attend the coronation for her work as an ambassador for The British Asian Trust, a charity founded by King Charles when he was still the Prince of Wales. She was given the role due to her work with other global organisations including Unicef and her own Firework Foundation and has met with the King before.Katy will also perform at the King’s Coronation Concert at Windsor Castle on Sunday evening. She will join the likes of Take That and Lionel Richie, who also attended the coronation.For more of today's top stories, click here. READ NEXT: "
https://www.manchestereveningnews.co.uk/news/uk-news/,Zoe Ball replaced at last minute in BBC Radio 2 Coronation Concert coverage,"Dermot O'Leary and Scott Mills will cover for the BBC Radio 2 DJSign up for our daily newsletter to get the day's biggest stories sent direct to your inboxWe have more newslettersDJ Zoe Ball has said she is “absolutely gutted” as she pulled out of covering the Coronation Concert for BBC Radio 2 at the last minute due to illness. The 52-year-old was due to present a show from the grounds of Windsor Castle on Sunday evening ahead of the star-studded event which will feature performances by Take That, Katy Perry and Lionel Richie.On Sunday morning, Ball tweeted: “Absolutely gutted… the sickness bug has got me. Was meant to be heading to Windsor Castle for the #coronationconcert on @BBCRadio2 later.“@radioleary and @scott_mills have got you covered. I’m heading back to bed.”READ MORE: Sunday and Monday weather forecast as Coronation parties held across Greater Manchester Scott Mills will take over from Ball to chat to the crowd ahead of the concert, while Dermot O’Leary will be backstage speaking to the stars before they perform. The King and Queen and other members of the royal family will join around 20,000 members of the public at the Coronation Concert to continue the celebrations after their crowning at Westminster Abbey on Saturday.The show in Windsor, hosted by Downton Abbey and Paddington star Hugh Bonneville, will also see performances by Paloma Faith, Olly Murs, veteran rock guitarist Steve Winwood, and Nicole Scherzinger of The Pussycat Dolls. Classical acts including Andrea Bocelli, Welsh bass-baritone Sir Bryn Terfel and Chinese pianist Lang Lang are also on the bill.Hollywood star Tom Cruise, Dynasty actress Dame Joan Collins, adventurer Bear Grylls, singer Sir Tom Jones and former Strictly Come Dancing professional Oti Mabuse will also make an appearance via video. The series of pre-recorded sketches will reveal little-known facts about the monarch and will also include moments from beloved literary character Winnie the Pooh – seemingly echoing the famous moment Paddington Bear drank tea with the Queen during her Platinum Jubilee celebrations.Nigerian singer Tiwa Savage, DJ Pete Tong with his Ibiza Classics project, and winner of The Piano TV talent show, 13-year-old Lucy, will also perform. Meanwhile, fashion designer Stella McCartney will deliver a spoken word performance with a conservation theme which will reflect her and the King’s “shared passion for environmental sustainability”, the BBC has said.Her performance will be part of a broader nature-themed section of the concert which will also include a rendition of a 1980s hit by classical-soul composer Alexis Ffrench and London-based singer-songwriter Zak Abel alongside a house orchestra, band and choir. Bollywood star Sonam Kapoor will also deliver a spoken-word performance.The Royal Ballet, the Royal Opera, the Royal Shakespeare Company, the Royal College of Music and the Royal College of Art will come together for the first time to create a one-off performance featuring Sex Education and Doctor Who star Ncuti Gatwa and Olivier Award nominee Mei Mac.Former Desert Island Discs and Crimewatch presenter Kirsty Young will anchor the special live broadcast of the concert in the grounds of Windsor Castle after reporting from a studio at Buckingham Palace on Saturday’s coronation day. The concert on the castle’s East Lawn will also see TV presenter Clara Amfo and Diversity dance troupe member Jordan Banjo speaking to the artists backstage.For more of today's top stories, click here. READ NEXT: "
